ph,hardness,solids,chloramines,sulfate,conductivity,organic_carbon,trihalomethanes,turbidity,potability
7.745071229516849,219.9677718293001,18248.217250256184,0.18438488424521804,213.6506395035066,336.4360476965945,6.429593208834563,93.5555524693113,3.933949472560879,1
6.792603548243223,196.23168414563844,23554.81329284482,2.279229978440996,296.8796511060916,331.9878837424219,8.84534583131105,16.669571128893963,2.9926994792488073,1
7.971532807151039,152.9815184960087,17075.800790000387,3.1727889331567116,301.80168720444465,130.65352410549775,7.2896990821287755,91.44236949666835,3.655250085092676,1
9.284544784612038,117.65316111472131,21920.384703609598,7.775375314680381,347.2630345843406,350.4864712447844,9.260020906294312,62.98827826444824,5.4294634550354,0
6.648769937914996,184.9111656806795,6063.853330462145,5.113106249067516,163.31416367191736,509.92436227326175,10.929248446444056,91.22373132593142,6.555713310061028,0
6.648794564576229,169.67426927108747,27132.937073729387,1.3290368618002173,359.25672738473304,208.86518213848072,16.185772431656922,93.30795077064487,5.140974661727147,0
9.368819223261088,194.7596610013866,25012.054753622244,4.972072578835274,29.56083683972247,557.2723976575888,10.394204806471487,118.23745183357472,4.20344641694354,0
8.151152093729364,181.75859008409847,16829.113689318096,0.905392022123269,237.01154476361896,473.16622316265074,4.071871466152037,110.60360942863609,6.996023540608855,0
6.295788421097572,202.47763576596677,31592.45668432405,6.165382107774146,251.17261575484554,289.8650017043443,17.7003392324758,110.39714987830888,3.3743270538969554,0
7.8138400653789475,123.2382394219716,34375.701376265584,3.0577506963642427,363.33268260712384,378.77055439932286,7.814549331924802,113.31010957498715,6.061838676733814,0
6.304873460781307,215.86970328171628,8924.401356310258,3.8127276225216584,302.2630852676869,639.7482711461549,11.706397864476857,78.74136954447837,3.4238744032974426,0
6.301405369644614,159.87998023461998,17372.75221433786,6.65159329508438,159.44369461437134,510.03217202587985,14.232682534703557,70.9655526111052,4.862045916021787,0
7.362943407349051,253.76304363126326,17308.57650212702,1.4256728628315,201.50068741829847,401.31754823472215,12.998052092013914,96.18451249535003,3.772874870419097,1
4.130079633013303,115.5406090955216,15600.968988911354,1.2057636297740175,319.8680009547407,364.34750245585235,17.470897737607377,91.96242854299066,3.8882956346943782,0
